title,arxiv,github,project_page,hugging_face,blog
Fine-Tuning Language Models with Just Forward Passes,2305.17333,princeton-nlp/MeZO,,,https://gaotianyu.xyz/blog/2023/11/14/mezo/
Direct Preference Optimization: Your Language Model is Secretly a Reward Model,2305.18290,eric-mitchell/direct-preference-optimization,,,https://medium.com/@joaolages/direct-preference-optimization-dpo-622fc1f18707
Visual Instruction Tuning,2304.08485,haotian-liu/LLaVA,https://llava-vl.github.io/,https://huggingface.co/spaces/badayvedat/LLaVA,https://medium.com/voxel51/understanding-llava-large-language-and-vision-assistant-8b7772f5eec4
ImageReward: Learning and Evaluating Human Preferences for Text-to-Image Generation,2304.05977,THUDM/ImageReward,,https://huggingface.co/THUDM/ImageReward,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#ImageReward
Cheap and Quick: Efficient Vision-Language Instruction Tuning for Large Language Models,2305.15023,luogen1996/LaVIN,https://luogen1996.github.io/lavin/,,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#9dcb
Generating Images with Multimodal Language Models,2305.17216,kohjingyu/gill,https://jykoh.com/gill,,
An Inverse Scaling Law for CLIP Training,2305.07017,UCSC-VLAA/CLIPA,,,
InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,2305.06500,salesforce/LAVIS/tree/main/projects/instructblip,,Salesforce/instructblip-vicuna-7b,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#b689
Holistic Evaluation of Text-To-Image Models,2311.04287,stanford-crfm/heim,https://crfm.stanford.edu/heim/latest/,,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#b237
OBELICS: An Open Web-Scale Filtered Dataset of Interleaved Image-Text Documents,2306.16527,huggingface/OBELICS,,https://huggingface.co/datasets/HuggingFaceM4/OBELICS,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#e062
MagicBrush: A Manually Annotated Dataset for Instruction-Guided Image Editing,2306.10012,OSU-NLP-Group/MagicBrush,https://osu-nlp-group.github.io/MagicBrush/,https://huggingface.co/datasets/osunlp/MagicBrush,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#MagicBrush
Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models,2304.09842,lupantech/chameleon-llm,https://chameleon-llm.github.io/,,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#b961
Pick-a-Pic: An Open Dataset of User Preferences for Text-to-Image Generation,2305.01569,yuvalkirstain/PickScore,,https://huggingface.co/datasets/yuvalkirstain/pickapic_v1,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#3a8f
HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,2303.17580,microsoft/JARVIS,,https://huggingface.co/spaces/microsoft/HuggingGPT,
DataComp: In search of the next generation of multimodal datasets,2304.14108,mlfoundations/datacomp,https://www.datacomp.ai/,,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#1ede
LAMM: Multi-Modal Large Language Models and Applications as AI Agents,2306.06687,OpenGVLab/LAMM,https://openlamm.github.io/,https://medium.com/voxel51/neurips-2023-survival-guide-2f957d5b07c9#a998,
LightZero: A Unified Benchmark for Monte Carlo Tree Search in General Sequential Decision Scenario,2310.08348,opendilab/LightZero,,,
Simple and Controllable Music Generation,2306.05284,facebookresearch/audiocraft,,,https://vivek-murali.medium.com/simple-and-controllable-music-generation-musicgen-by-meta-cc8863d73792
"Squeeze, Recover and Relabel: Dataset Condensation at ImageNet Scale From A New Perspective",2306.13092,VILA-Lab/SRe2L,,,
MotionGPT: Human Motion as Foreign Language,2306.14795,OpenMotionLab/MotionGPT,https://motion-gpt.github.io/,https://huggingface.co/spaces/OpenMotionLab/MotionGPT,https://medium.com/@kaveh.kamali/unlocking-the-language-of-motion-meet-motiongpt-8efee7700fd3
"The RefinedWeb Dataset for Falcon LLM: Outperforming Curated Corpora with Web Data, and Web Data Only",2306.01116,,,https://huggingface.co/datasets/tiiuae/falcon-refinedweb,https://medium.com/dair-ai/papers-explained-59-falcon-26831087247f
